Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21098954-1),°C,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21038284-1),°C,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
07/25/2023,13:56:00 -0300,0,,,185,,797,,,,,,,,,,,4.7,6.7,,
07/25/2023,13:58:00 -0300,0,,,178,,796,,,,,,,,,,,5,8.3,,
07/25/2023,13:59:00 -0300,,,,,,,4.34,,,,,,,,,,,,,
07/25/2023,14:00:00 -0300,0,,,174,,753,,,,,,,,,,,5.7,7,,
07/25/2023,14:02:00 -0300,0,,,181,,327,,,,,,,,,,,5.3,7.3,,
07/25/2023,14:04:00 -0300,0,,,190,,92,4.314,,,,,,,,,,6,8,,
07/25/2023,14:06:00 -0300,0,,,181,,93,,,,,,,,,,,5.7,7.7,,
07/25/2023,14:08:00 -0300,0,,,198,,93,,,,,,,,,,,6.3,10,,
07/25/2023,14:09:00 -0300,,,,,,,4.305,,,,,,,,,,,,,
07/25/2023,14:10:00 -0300,0,,,194,,94,,,,,,,,,,,5.7,8.7,,
07/25/2023,14:12:00 -0300,0,,,198,,94,,,,,,,,,,,6.7,9,,
07/25/2023,14:14:00 -0300,0,,,184,,99,4.323,,,,,,,,,,6.3,9,,
07/25/2023,14:16:00 -0300,0,,,188,,111,,,,,,,,,,,6.7,8.7,,
07/25/2023,14:18:00 -0300,0,,,205,,97,,,,,,,,,,,5.3,7,,
07/25/2023,14:19:00 -0300,,,,,,,4.313,,,,,,,,,,,,,
07/25/2023,14:20:00 -0300,0,,,208,,104,,,,,,,,,,,5.3,8.7,,
07/25/2023,14:22:00 -0300,0,,,206,,489,,,,,,,,,,,5.7,8.3,,
07/25/2023,14:24:00 -0300,0,,,190,,767,4.304,,,,,,,,,,5,9,,
07/25/2023,14:26:00 -0300,0,,,181,,767,,,,,,,,,,,6.3,9,,
07/25/2023,14:28:00 -0300,0,,,191,,767,,,,,,,,,,,6.7,10,,
07/25/2023,14:29:00 -0300,,,,,,,4.341,,,,,,,,,,,,,
07/25/2023,14:30:00 -0300,0,,,178,,768,,,,,,,,,,,7,10.4,,
07/25/2023,14:32:00 -0300,0,,,190,,768,,,,,,,,,,,6.3,9.4,,
07/25/2023,14:34:00 -0300,0,,,192,,766,4.314,,,,,,,,,,7.7,9.7,,
07/25/2023,14:36:00 -0300,0,,,192,,763,,,,,,,,,,,6,9,,
07/25/2023,14:38:00 -0300,0,,,187,,763,,,,,,,,,,,4.7,6,,
07/25/2023,14:39:00 -0300,,,,,,,4.305,,,,,,,,,,,,,
07/25/2023,14:40:00 -0300,0,,,185,,758,,,,,,,,,,,5,7.3,,
07/25/2023,14:42:00 -0300,0,,,183,,758,,,,,,,,,,,4.3,6.3,,
07/25/2023,14:44:00 -0300,0,,,184,,759,4.341,,,,,,,,,,5.3,8,,
07/25/2023,14:46:00 -0300,0,,,194,,757,,,,,,,,,,,5,7,,
07/25/2023,14:48:00 -0300,0,,,187,,757,,,,,,,,,,,5.7,8.3,,
07/25/2023,14:49:00 -0300,,,,,,,4.296,,,,,,,,,,,,,
07/25/2023,14:50:00 -0300,0,,,177,,754,,,,,,,,,,,5.7,8,,
07/25/2023,14:52:00 -0300,0,,,181,,756,,,,,,,,,,,6.3,9,,
07/25/2023,14:54:00 -0300,0,,,181,,748,4.305,,,,,,,,,,6.3,8.3,,
07/25/2023,14:56:00 -0300,0,,,184,,748,,,,,,,,,,,6,9.4,,
07/25/2023,14:58:00 -0300,0,,,174,,746,,,,,,,,,,,5,7,,
07/25/2023,14:59:00 -0300,,,,,,,4.341,,,,,,,,,,,,,
07/25/2023,15:00:00 -0300,0,,,188,,744,,,,,,,,,,,4.7,6.7,,
07/25/2023,15:02:00 -0300,0,,,195,,743,,,,,,,,,,,4.7,6.7,,
07/25/2023,15:04:00 -0300,0,,,190,,741,4.314,,,,,,,,,,6,9.7,,
07/25/2023,15:06:00 -0300,0,,,192,,737,,,,,,,,,,,6.7,10,,
07/25/2023,15:08:00 -0300,0,,,185,,733,,,,,,,,,,,6,10,,
07/25/2023,15:09:00 -0300,,,,,,,4.304,,,,,,,,,,,,,
07/25/2023,15:10:00 -0300,0,,,183,,729,,,,,,,,,,,6.7,8.7,,
07/25/2023,15:12:00 -0300,0,,,181,,728,,,,,,,,,,,6.3,8,,
07/25/2023,15:14:00 -0300,0,,,178,,726,4.341,,,,,,,,,,6,9.7,,
07/25/2023,15:16:00 -0300,0,,,187,,719,,,,,,,,,,,6.3,9,,
