Date,Time,"Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Accumulated Rain (C-ACC-RAIN 21038195:21038368-2),mm,Tracadie Wharf,Tracadie Harbour","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf"
01/01/2024,00:00:00 -0400,1,0,253,-1.61,,,,,,,,14,20
01/01/2024,00:02:00 -0400,1,0,253,-1.67,4.265,101.179,109.823,8.644,1.12,-0.05488,,13,19
01/01/2024,00:04:00 -0400,1,0,251,-1.64,,,,,,,,16,22
01/01/2024,00:06:00 -0400,1,0,248,-1.64,,,,,,,,14,19
01/01/2024,00:07:00 -0400,,,,,4.271,101.184,109.801,8.617,1.12,-0.05758,,,
01/01/2024,00:08:00 -0400,1,0,253,-1.67,,,,,,,,13,18
01/01/2024,00:10:00 -0400,1,0,251,-1.58,,,,,,,,16,28
01/01/2024,00:12:00 -0400,1,0,251,-1.7,4.254,101.184,109.65,8.466,1.12,-0.07253,,18,26
01/01/2024,00:14:00 -0400,1,0,256,-1.7,,,,,,,,19,29
01/01/2024,00:16:00 -0400,1,0,254,-1.73,,,,,,,,18,24
01/01/2024,00:17:00 -0400,,,,,4.263,101.183,109.61,8.427,1.12,-0.07639,,,
01/01/2024,00:18:00 -0400,1,0,243,-1.61,,,,,,,,17,24
01/01/2024,00:20:00 -0400,1,0,251,-1.73,,,,,,,,17,23
01/01/2024,00:22:00 -0400,1,0,248,-1.7,4.268,101.188,109.566,8.378,1.12,-0.08129,,13,18
01/01/2024,00:24:00 -0400,1,0,247,-1.67,,,,,,,,14,18
01/01/2024,00:26:00 -0400,1,0,254,-1.7,,,,,,,,12,20
01/01/2024,00:27:00 -0400,,,,,4.251,101.184,109.473,8.289,1.12,-0.09012,,,
01/01/2024,00:28:00 -0400,1,0,243,-1.67,,,,,,,,17,24
01/01/2024,00:30:00 -0400,1,0,253,-1.76,,,,,,,,16,28
01/01/2024,00:32:00 -0400,1,0,250,-1.76,4.26,101.188,109.359,8.171,1.12,-0.10195,,13,18
01/01/2024,00:34:00 -0400,1,0,254,-1.76,,,,,,,,16,24
01/01/2024,00:36:00 -0400,1,0,247,-1.73,,,,,,,,14,19
01/01/2024,00:37:00 -0400,,,,,4.266,101.189,109.354,8.165,1.12,-0.10249,,,
01/01/2024,00:38:00 -0400,1,0,247,-1.78,,,,,,,,13,20
01/01/2024,00:40:00 -0400,1,0,253,-1.73,,,,,,,,16,24
01/01/2024,00:42:00 -0400,1,0,253,-1.81,4.25,101.187,109.248,8.061,1.12,-0.11285,,17,23
01/01/2024,00:44:00 -0400,1,0,250,-1.81,,,,,,,,14,24
01/01/2024,00:46:00 -0400,1,0,254,-1.87,,,,,,,,18,25
01/01/2024,00:47:00 -0400,,,,,4.259,101.189,109.155,7.966,1.12,-0.12228,,,
01/01/2024,00:48:00 -0400,1,0,246,-1.7,,,,,,,,16,20
01/01/2024,00:50:00 -0400,1,0,256,-1.87,,,,,,,,14,20
01/01/2024,00:52:00 -0400,1,0,251,-1.9,4.263,101.205,109.054,7.849,1.12,-0.13398,,17,23
01/01/2024,00:54:00 -0400,1,0,254,-1.84,,,,,,,,16,23
01/01/2024,00:56:00 -0400,1,0,250,-1.87,,,,,,,,17,22
01/01/2024,00:57:00 -0400,,,,,4.248,101.204,108.983,7.779,1.12,-0.14092,,,
01/01/2024,00:58:00 -0400,1,0,251,-1.87,,,,,,,,16,22
01/01/2024,01:00:00 -0400,1,0,257,-1.9,,,,,,,,17,25
01/01/2024,01:02:00 -0400,1,0,261,-1.9,4.256,101.201,108.868,7.667,1.12,-0.15205,,18,26
01/01/2024,01:04:00 -0400,1,0,261,-1.93,,,,,,,,18,22
01/01/2024,01:06:00 -0400,1,0,251,-1.81,,,,,,,,20,30
01/01/2024,01:07:00 -0400,,,,,4.26,101.206,108.78,7.574,1.12,-0.16134,,,
01/01/2024,01:08:00 -0400,1,0,260,-1.87,,,,,,,,17,24
01/01/2024,01:10:00 -0400,1,0,253,-1.81,,,,,,,,16,20
01/01/2024,01:12:00 -0400,1,0,251,-1.81,4.244,101.215,108.718,7.503,1.12,-0.16839,,13,19
01/01/2024,01:14:00 -0400,1,0,257,-1.93,,,,,,,,19,26
01/01/2024,01:16:00 -0400,1,0,253,-1.96,,,,,,,,17,24
01/01/2024,01:17:00 -0400,,,,,4.254,101.218,108.625,7.407,1.12,-0.17792,,,
01/01/2024,01:18:00 -0400,1,0,257,-1.99,,,,,,,,17,22
01/01/2024,01:20:00 -0400,1,0,254,-1.96,,,,,,,,19,23
01/01/2024,01:22:00 -0400,1,0,258,-2.02,4.259,101.217,108.559,7.342,1.12,-0.18441,,18,24
01/01/2024,01:24:00 -0400,1,0,260,-2.07,,,,,,,,20,34
01/01/2024,01:26:00 -0400,1,0,257,-2.04,,,,,,,,17,23
01/01/2024,01:27:00 -0400,,,,,4.242,101.222,108.492,7.27,1.12,-0.1915,,,
01/01/2024,01:28:00 -0400,1,0,258,-2.07,,,,,,,,16,22
01/01/2024,01:30:00 -0400,1,0,258,-2.1,,,,,,,,19,25
01/01/2024,01:32:00 -0400,1,0,261,-2.1,4.25,101.23,108.391,7.161,1.12,-0.2024,,18,25
01/01/2024,01:34:00 -0400,1,0,257,-2.07,,,,,,,,16,19
01/01/2024,01:36:00 -0400,1,0,260,-2.07,,,,,,,,16,26
01/01/2024,01:37:00 -0400,,,,,4.254,101.226,108.342,7.116,1.12,-0.20684,,,
01/01/2024,01:38:00 -0400,1,0,261,-2.04,,,,,,,,17,24
01/01/2024,01:40:00 -0400,1,0,258,-2.07,,,,,,,,16,23
01/01/2024,01:42:00 -0400,1,0,256,-2.04,4.241,101.229,108.232,7.003,1.12,-0.21813,,18,24
01/01/2024,01:44:00 -0400,1,0,254,-2.07,,,,,,,,18,25
01/01/2024,01:46:00 -0400,1,0,264,-2.1,,,,,,,,18,28
01/01/2024,01:47:00 -0400,,,,,4.248,101.226,108.139,6.913,1.12,-0.22706,,,
01/01/2024,01:48:00 -0400,1,0,261,-2.07,,,,,,,,20,28
01/01/2024,01:50:00 -0400,1,0,267,-2.07,,,,,,,,19,24
01/01/2024,01:52:00 -0400,1,0,265,-2.07,4.254,101.225,108.045,6.82,1.01,-0.2363,,18,23
01/01/2024,01:54:00 -0400,1,0,263,-2.1,,,,,,,,18,23
01/01/2024,01:56:00 -0400,1,0,257,-2.1,,,,,,,,19,25
01/01/2024,01:57:00 -0400,,,,,4.233,101.225,107.988,6.763,1.01,-0.24201,,,
01/01/2024,01:58:00 -0400,1,0,261,-2.13,,,,,,,,17,25
01/01/2024,02:00:00 -0400,1,0,261,-2.16,,,,,,,,18,23
01/01/2024,02:02:00 -0400,1,0,261,-2.16,4.244,101.223,107.961,6.738,1.01,-0.24445,,17,24
01/01/2024,02:04:00 -0400,1,0,260,-2.16,,,,,,,,18,25
01/01/2024,02:06:00 -0400,1,0,258,-2.19,,,,,,,,18,24
01/01/2024,02:07:00 -0400,,,,,4.248,101.226,107.855,6.629,1.01,-0.25529,,,
01/01/2024,02:08:00 -0400,1,0,264,-2.19,,,,,,,,18,23
01/01/2024,02:10:00 -0400,1,0,261,-2.19,,,,,,,,20,26
01/01/2024,02:12:00 -0400,1,0,260,-2.19,4.235,101.225,107.771,6.546,1.01,-0.26354,,18,24
01/01/2024,02:14:00 -0400,1,0,267,-2.19,,,,,,,,17,23
01/01/2024,02:16:00 -0400,1,0,264,-2.16,,,,,,,,18,23
01/01/2024,02:17:00 -0400,,,,,4.244,101.224,107.723,6.499,1.01,-0.26828,,,
01/01/2024,02:18:00 -0400,1,0,267,-2.16,,,,,,,,18,25
01/01/2024,02:20:00 -0400,1,0,258,-2.19,,,,,,,,19,25
01/01/2024,02:22:00 -0400,1,0,263,-2.13,4.248,101.232,107.665,6.433,1.01,-0.27478,,18,25
01/01/2024,02:24:00 -0400,1,0,263,-2.22,,,,,,,,18,23
01/01/2024,02:26:00 -0400,1,0,261,-2.22,,,,,,,,17,20
01/01/2024,02:27:00 -0400,,,,,4.232,101.23,107.555,6.325,1.01,-0.28557,,,
01/01/2024,02:28:00 -0400,1,0,260,-2.22,,,,,,,,17,24
01/01/2024,02:30:00 -0400,1,0,263,-2.22,,,,,,,,16,22
01/01/2024,02:32:00 -0400,1,0,265,-2.19,4.244,101.238,107.524,6.286,1.01,-0.28944,,16,23
01/01/2024,02:34:00 -0400,1,0,261,-2.22,,,,,,,,17,23
01/01/2024,02:36:00 -0400,1,0,263,-2.22,,,,,,,,16,20
01/01/2024,02:37:00 -0400,,,,,4.247,101.24,107.453,6.213,1.01,-0.29667,,,
01/01/2024,02:38:00 -0400,1,0,257,-2.19,,,,,,,,16,25
01/01/2024,02:40:00 -0400,1,0,264,-2.22,,,,,,,,19,26
01/01/2024,02:42:00 -0400,1,0,265,-2.19,4.23,101.24,107.405,6.165,1.01,-0.3015,,17,23
01/01/2024,02:44:00 -0400,1,0,257,-2.19,,,,,,,,13,18
01/01/2024,02:46:00 -0400,1,0,265,-2.22,,,,,,,,16,23
01/01/2024,02:47:00 -0400,,,,,4.241,101.24,107.356,6.116,1.01,-0.30633,,,
01/01/2024,02:48:00 -0400,1,0,260,-2.22,,,,,,,,17,23
01/01/2024,02:50:00 -0400,1,0,261,-2.28,,,,,,,,14,22
01/01/2024,02:52:00 -0400,1,0,257,-2.28,4.245,101.241,107.272,6.031,1.01,-0.31478,,13,19
