Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530604-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530604-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530604-3),°C,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
02/01/2024,00:00:00 -0400,,,4.145,,,,,,,,,,,,,,,,
02/01/2024,00:05:00 -0400,,,4.152,,,,,,,,,,,,,,,,
02/01/2024,00:10:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,00:15:00 -0400,,,4.142,,,,,,,,,,,,,,,,
02/01/2024,00:20:00 -0400,,,4.151,,,,,,,,,,,,,,,,
02/01/2024,00:25:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,00:30:00 -0400,,,4.142,,,,,,,,,,,,,,,,
02/01/2024,00:35:00 -0400,,,4.149,,,,,,,,,,,,,,,,
02/01/2024,00:40:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,00:45:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,00:50:00 -0400,,,4.148,,,,,,,,,,,,,,,,
02/01/2024,00:55:00 -0400,,,4.137,,,,,,,,,,,,,,,,
02/01/2024,01:00:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,01:05:00 -0400,,,4.148,,,,,,,,,,,,,,,,
02/01/2024,01:10:00 -0400,,,4.136,,,,,,,,,,,,,,,,
02/01/2024,01:15:00 -0400,,,4.137,,,,,,,,,,,,,,,,
02/01/2024,01:20:00 -0400,,,4.146,,,,,,,,,,,,,,,,
02/01/2024,01:25:00 -0400,,,4.136,,,,,,,,,,,,,,,,
02/01/2024,01:30:00 -0400,,,4.137,,,,,,,,,,,,,,,,
02/01/2024,01:35:00 -0400,,,4.145,,,,,,,,,,,,,,,,
02/01/2024,01:40:00 -0400,,,4.134,,,,,,,,,,,,,,,,
02/01/2024,01:45:00 -0400,,,4.137,,,,,,,,,,,,,,,,
02/01/2024,01:50:00 -0400,,,4.143,,,,,,,,,,,,,,,,
02/01/2024,01:55:00 -0400,,,4.133,,,,,,,,,,,,,,,,
02/01/2024,02:00:00 -0400,,,4.136,,,,,,,,,,,,,,,,
02/01/2024,02:05:00 -0400,,,4.143,,,,,,,,,,,,,,,,
02/01/2024,02:10:00 -0400,,,4.131,,,,,,,,,,,,,,,,
02/01/2024,02:15:00 -0400,,,4.134,,,,,,,,,,,,,,,,
02/01/2024,02:20:00 -0400,,,4.143,,,,,,,,,,,,,,,,
02/01/2024,02:25:00 -0400,,,4.131,,,,,,,,,,,,,,,,
02/01/2024,02:30:00 -0400,,,4.134,,,,,,,,,,,,,,,,
02/01/2024,02:35:00 -0400,,,4.142,,,,,,,,,,,,,,,,
02/01/2024,02:40:00 -0400,,,4.131,,,,,,,,,,,,,,,,
02/01/2024,02:45:00 -0400,,,4.134,,,,,,,,,,,,,,,,
02/01/2024,02:50:00 -0400,,,4.142,,,,,,,,,,,,,,,,
02/01/2024,02:55:00 -0400,,,4.13,,,,,,,,,,,,,,,,
02/01/2024,03:00:00 -0400,,,4.134,,,,,,,,,,,,,,,,
02/01/2024,03:05:00 -0400,,,4.142,,,,,,,,,,,,,,,,
02/01/2024,03:10:00 -0400,,,4.13,,,,,,,,,,,,,,,,
02/01/2024,03:15:00 -0400,,,4.133,,,,,,,,,,,,,,,,
02/01/2024,03:20:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,03:25:00 -0400,,,4.13,,,,,,,,,,,,,,,,
02/01/2024,03:30:00 -0400,,,4.133,,,,,,,,,,,,,,,,
02/01/2024,03:35:00 -0400,,,4.14,,,,,,,,,,,,,,,,
02/01/2024,03:40:00 -0400,,,4.13,,,,,,,,,,,,,,,,
02/01/2024,03:45:00 -0400,,,4.131,,,,,,,,,,,,,,,,
