Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
01/01/2024,09:40:00 -0400,,,4.072,,,,,,,
01/01/2024,09:45:00 -0400,,,4.068,,,,,,,
01/01/2024,09:50:00 -0400,,,4.08,,,,,,,
01/01/2024,09:55:00 -0400,,,4.083,,,,,,,
01/01/2024,10:00:00 -0400,,,4.071,,,,,,,
01/01/2024,10:05:00 -0400,,,4.08,,,,,,,
01/01/2024,10:10:00 -0400,,,4.087,,,,,,,
01/01/2024,10:15:00 -0400,,,4.077,,,,,,,
01/01/2024,10:20:00 -0400,,,4.087,,,,,,,
01/01/2024,10:25:03 -0400,,,4.095,,,,,,,
01/01/2024,10:30:03 -0400,,,4.057,,,,,,,
01/01/2024,10:35:03 -0400,,,4.089,,,,,,,
01/01/2024,10:40:00 -0400,,,4.095,,,,,,,
01/01/2024,10:45:00 -0400,,,4.086,,,,,,,
01/01/2024,10:50:00 -0400,,,4.113,,,,,,,
01/01/2024,10:55:00 -0400,,,4.122,,,,,,,
01/01/2024,11:00:00 -0400,,,4.105,,,,,,,
01/01/2024,11:05:00 -0400,,,4.123,,,,,,,
01/01/2024,11:10:00 -0400,,,4.137,,,,,,,
01/01/2024,11:15:00 -0400,,,4.145,,,,,,,
01/01/2024,11:20:00 -0400,,,4.169,,,,,,,
01/01/2024,11:25:00 -0400,,,4.172,,,,,,,
01/01/2024,11:30:00 -0400,,,4.149,,,,,,,
01/01/2024,11:35:00 -0400,,,4.187,,,,,,,
01/01/2024,11:40:00 -0400,,,4.199,,,,,,,
01/01/2024,11:45:00 -0400,,,4.19,,,,,,,
01/01/2024,11:50:00 -0400,,,4.2,,,,,,,
01/01/2024,11:55:00 -0400,,,4.194,,,,,,,
01/01/2024,12:00:00 -0400,,,4.173,,,,,,,
01/01/2024,12:05:00 -0400,,,4.197,,,,,,,
01/01/2024,12:10:00 -0400,,,4.209,,,,,,,
01/01/2024,12:15:00 -0400,,,4.212,,,,,,,
01/01/2024,12:20:00 -0400,,,4.236,,,,,,,
01/01/2024,12:25:00 -0400,,,4.241,,,,,,,
01/01/2024,12:30:00 -0400,,,4.259,,,,,,,
01/01/2024,12:35:00 -0400,,,4.277,,,,,,,
01/01/2024,12:40:00 -0400,,,4.257,,,,,,,
01/01/2024,12:45:00 -0400,,,4.239,,,,,,,
01/01/2024,12:50:00 -0400,,,4.25,,,,,,,
01/01/2024,12:55:00 -0400,,,4.238,,,,,,,
01/01/2024,13:00:00 -0400,,,4.218,,,,,,,
01/01/2024,13:05:00 -0400,,,4.218,,,,,,,
01/01/2024,13:10:00 -0400,,,4.25,,,,,,,
01/01/2024,13:15:00 -0400,,,4.269,,,,,,,
01/01/2024,13:20:00 -0400,,,4.262,,,,,,,
01/01/2024,13:25:00 -0400,,,4.266,,,,,,,
01/01/2024,13:30:00 -0400,,,4.25,,,,,,,
01/01/2024,13:35:00 -0400,,,4.236,,,,,,,
01/01/2024,13:40:00 -0400,,,4.23,,,,,,,
01/01/2024,13:45:00 -0400,,,4.214,,,,,,,
01/01/2024,13:50:00 -0400,,,4.215,,,,,,,
01/01/2024,13:55:00 -0400,,,4.232,,,,,,,
01/01/2024,14:00:00 -0400,,,4.221,,,,,,,
01/01/2024,14:05:00 -0400,,,4.224,,,,,,,
01/01/2024,14:10:00 -0400,,,4.232,,,,,,,
01/01/2024,14:15:00 -0400,,,4.23,,,,,,,
01/01/2024,14:20:00 -0400,,,4.247,,,,,,,
01/01/2024,14:25:00 -0400,,,4.26,,,,,,,
01/01/2024,14:30:00 -0400,,,4.275,,,,,,,
01/01/2024,14:35:00 -0400,,,4.271,,,,,,,
01/01/2024,14:40:00 -0400,,,4.253,,,,,,,
01/01/2024,14:45:00 -0400,,,4.218,,,,,,,
01/01/2024,14:50:00 -0400,,,4.209,,,,,,,
01/01/2024,14:55:00 -0400,,,4.208,,,,,,,
01/01/2024,15:00:00 -0400,,,4.197,,,,,,,
01/01/2024,15:05:00 -0400,,,4.223,,,,,,,
01/01/2024,15:10:00 -0400,,,4.239,,,,,,,
01/01/2024,15:15:00 -0400,,,4.233,,,,,,,
01/01/2024,15:20:00 -0400,,,4.247,,,,,,,
01/01/2024,15:25:00 -0400,,,4.25,,,,,,,
01/01/2024,15:30:00 -0400,,,4.233,,,,,,,
01/01/2024,15:35:00 -0400,,,4.238,,,,,,,
01/01/2024,15:40:00 -0400,,,4.235,,,,,,,
01/01/2024,15:45:00 -0400,,,4.205,,,,,,,
01/01/2024,15:50:00 -0400,,,4.2,,,,,,,
01/01/2024,15:55:00 -0400,,,4.203,,,,,,,
01/01/2024,16:00:00 -0400,,,4.188,,,,,,,
01/01/2024,16:05:00 -0400,,,4.197,,,,,,,
01/01/2024,16:10:00 -0400,,,4.197,,,,,,,
01/01/2024,16:15:00 -0400,,,4.179,,,,,,,
01/01/2024,16:20:00 -0400,,,4.184,,,,,,,
01/01/2024,16:25:00 -0400,,,4.179,,,,,,,
