Date,Time,"Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour"
2/1/2024,00:00:00 -0400,,,0,213,1,,,,,,-4.59,12,18
2/1/2024,00:01:00 -0400,4.16,,,,,,,,,,,,
2/1/2024,00:02:00 -0400,,,0,212,1,,,,,,-4.53,13,22
2/1/2024,00:04:00 -0400,,,0,208,1,,,,,,-4.53,12,22
2/1/2024,00:06:00 -0400,4.164,,0,216,1,,,,,,-4.5,12,20
2/1/2024,00:08:00 -0400,,,0,213,1,,,,,,-4.47,13,23
2/1/2024,00:10:00 -0400,,,0,209,1,,,,,,-4.44,13,19
2/1/2024,00:11:00 -0400,4.137,,,,,,,,,,,,
2/1/2024,00:12:00 -0400,,,0,209,1,,,,,,-4.44,13,20
2/1/2024,00:14:00 -0400,,,0,212,1,,,,,,-4.41,14,20
2/1/2024,00:16:00 -0400,4.157,,0,211,1,,,,,,-4.41,13,20
2/1/2024,00:18:00 -0400,,,0,220,1,,,,,,-4.38,16,20
2/1/2024,00:20:00 -0400,,,0,213,1,,,,,,-4.35,16,22
2/1/2024,00:21:00 -0400,4.163,,,,,,,,,,,,
2/1/2024,00:22:00 -0400,,,0,216,1,,,,,,-4.35,14,24
2/1/2024,00:24:00 -0400,,,0,213,1,,,,,,-4.32,14,18
2/1/2024,00:26:00 -0400,4.142,,0,209,1,,,,,,-4.32,13,19
